ÁLMOMBAN	VIZSGÁZNI
az	esõ
esõ	leverte
leverte	az
az	oldalát
oldalát	,
,	aránytalanul
aránytalanul	nehéz
nehéz	nyárfagerendázata
nyárfagerendázata	ferdítette
ferdítette	,
,	szétnyomta
szétnyomta	a
a	falakat
falakat	,
,	tûzfala
tûzfala	ledõlt
ledõlt	,
,	pozdorjává
pozdorjává	törte
törte	a
a	hozzáépített
hozzáépített	ól
ól	cseréptetejét
cseréptetejét	-
-	szóval
szóval	megdolgoztunk
megdolgoztunk	jótéteményeiért
jótéteményeiért	,
,	téli
téli	melegéért
melegéért	,
,	nyári
nyári	hûvöséért
hûvöséért	.
.	Anyám
Anyám	éppen
éppen	úgy
úgy	föláldozta
föláldozta	magát
magát	érte
érte	,
,	mint
mint	értünk
értünk	,
,	szidta
szidta	,
,	és
és	másokéhoz
másokéhoz	hasonlította
hasonlította	,
,	apám
apám	védelmezte
védelmezte	,
,	és
és	többre
többre	tartotta
tartotta	mindenkiénél
mindenkiénél	,
,	emiatt
emiatt	aztán
aztán	hosszú
hosszú	veszekedések
veszekedések	oka
oka	lett
lett	a
a	ház
ház	.
.	Pedig
Pedig	szegény
szegény	az
az	idõnek
idõnek	engedelmeskedett
engedelmeskedett	csupán
csupán	,
,	mint
mint	szüleim
szüleim	hajzata
hajzata	,
,	fogai
fogai	,
,	bõre
bõre	meg
meg	a
a	kezeik
kezeik	,
,	amelyekkel
amelyekkel	már
már	képtelenek
képtelenek	megállítani
megállítani	az
az	otthon
otthon	pusztulását
pusztulását	.
.	Dúc
Dúc	,
,	sárföld
sárföld	,
,	deszka
deszka	és
és	bádog
bádog	sem
sem	segít
segít	.
.	Kapujára
Kapujára	illene
illene	a
a	figyelmeztetés
figyelmeztetés	:
:	Életveszélyes
Életveszélyes	!
!	Mostanában
Mostanában	otthoni
otthoni	beszédtéma
beszédtéma	,
,	hogy
hogy	a
a	szükségtelen
szükségtelen	és
és	menthetetlen
menthetetlen	ólat
ólat	,
,	istállót
istállót	,
,	kocsiszínt
kocsiszínt	bontsuk
bontsuk	le
le	,
,	mentsük
mentsük	meg
meg	legalább
legalább	a
a	tetõt
tetõt	,
,	a
a	nagy
nagy	értékû
értékû	cserép
cserép	-
-	és
és	faanyagot
faanyagot	,
,	mert
mert	hovatovább
hovatovább	a
a	pajta
pajta	sorsára
sorsára	jut
jut	az
az	is
is	.
.	A
A	pajta
pajta	szemünk
szemünk	elõtt
elõtt	dûlt
dûlt	össze
össze	.
.	Elõször
Elõször	kikorhadt
kikorhadt	az
az	egyik
egyik	gerendarendszere
gerendarendszere	,
,	mikor
mikor	az
az	óriás
óriás	A
A	betûhöz
betûhöz	hasonló
hasonló	alkotmány
alkotmány	kiesett
kiesett	,
,	a
a	tetõ
tetõ	nyeregszerûen
nyeregszerûen	beszakadt
beszakadt	,
,	az
az	esõlé
esõlé	nem
nem	folyt
folyt	le
le	a
a	zsúpról
zsúpról	,
,	rozsdásodott
rozsdásodott	,
,	rothadt
rothadt	,
,	foszlott
foszlott	minden
minden	ereszték
ereszték	,
,	szög
szög	és
és	kötés
kötés	fölmondta
fölmondta	a
a	szolgálatot
szolgálatot	.
.	Ma
Ma	már
már	a
a	puszta
puszta	falak
falak	is
is	elvásnak
elvásnak	az
az	esõtõl
esõtõl	,
,	fagytól
fagytól	,
,	gyökerektõl
gyökerektõl	.
.	Okoz
Okoz	akkora
akkora	szomorúságot
szomorúságot	a
a	romló
romló	ház
ház	,
,	mint
mint	a
a	halálos
halálos	beteg
beteg	ember
ember	,
,	hiszen
hiszen	lakói
lakói	baját
baját	nagyítja
nagyítja	föl
föl	a
a	betegség
betegség	,
,	az
az	öregség
öregség	,
,	a
a	magatehetetlenség
magatehetetlenség	szimbólumaként
szimbólumaként	.
.	Boldoggá
Boldoggá	tesznek
tesznek	az
az	épülõ
épülõ	falvak
falvak	.
.	Falumbeliek
Falumbeliek	helyett
helyett	irigylem
irigylem	a
a	friss
friss	házakat
házakat	,
,	az
az	udvarok
udvarok	rendjét
rendjét	,
,	az
az	építõ
építõ	,
,	javító
javító	,
,	csinosító
csinosító	kezeket
kezeket	.
.	Sajnos
Sajnos	irigyelnem
irigyelnem	kell
kell	lakói
lakói	közérzetét
közérzetét	is
is	,
,	amivel
amivel	a
a	jövendõt
jövendõt	fogadják
fogadják	,
,	miközben
miközben	villanyt
villanyt	szerelnek
szerelnek	,
,	betonjárdát
betonjárdát	raknak
raknak	,
,	fúrják
fúrják	a
a	kutakat
kutakat	.
.	Szülõfalum
Szülõfalum	,
,	mint
mint	annyi
annyi	más
más	dunántúli
dunántúli	község
község	,
,	eltûnik
eltûnik	a
a	föld
föld	színérõl
színérõl	,
,	történelmi
történelmi	küldetése
küldetése	lejárt
lejárt	,
,	vasútja
vasútja	nincs
nincs	,
,	fekvése
fekvése	rossz
rossz	.
.	Ki
Ki	az
az	a
a	bolond
bolond	,
,	aki
aki	vállalná
vállalná	hátrányait
hátrányait	?
?	1785-ben
1785-ben	többen
többen	lakták
lakták	,
,	mint
mint	az
az	idén
idén	.
.	Hiányoznak
Hiányoznak	a
a	negyven-ötven
negyven-ötven	évesek
évesek	,
,	hír
hír	nélkül
nélkül	elestek
elestek	a
a	fronton
fronton	:
:	a
a	mi
mi	utcánkból
utcánkból	tíz
tíz	férfi
férfi	-
-	ma
ma	az
az	erõt
erõt	jelentenék
jelentenék	,
,	tíz
tíz	helybeli
helybeli	lányt
lányt	a
a	faluban
faluban	marasztaltak
marasztaltak	volna
volna	,
,	apái
apái	lehettek
lehettek	volna
volna	húsz-harminc
húsz-harminc	gyereknek
gyereknek	.
.	A
A	vándorlás
vándorlás	megindult
megindult	,
,	s
s	mire
mire	a
a	szövetkezet
szövetkezet	megalakult
megalakult	,
,	nem
nem	maradt
maradt	otthon
otthon	egyetlen
egyetlen	segítõ
segítõ	kéz
kéz	,
,	a
a	háromszázötven
háromszázötven	lakosú
lakosú	utcából
utcából	száztízen
száztízen	mentek
mentek	el
el	,
,	közülük
közülük	negyvenöten
negyvenöten	Pestre
Pestre	.
.	A
A	szövetkezetben
szövetkezetben	dolgozók
dolgozók	nagy
nagy	része
része	a
a	hetvenéves
hetvenéves	nyugdíjkorhatárhoz
nyugdíjkorhatárhoz	közeledik
közeledik	,
,	vagy
vagy	túlhaladta
túlhaladta	,
,	vagy
vagy	elcsigázott
elcsigázott	a
a	korához
korához	nem
nem	illõ
illõ	megterhelés
megterhelés	miatt
miatt	.
.	Két
Két	fiatalember
fiatalember	dolgozik
dolgozik	helyben
helyben	,
,	az
az	egyik
egyik	a
a	párttitkár
párttitkár	,
,	a
a	másik
másik	a
a	téesz
téesz	traktorosa
traktorosa	,
,	a
a	környék
környék	iparában
iparában	a
a	többi
többi	,
,	a
a	további
további	tíz-tizenkettõ
tíz-tizenkettõ	.
.	Csak
Csak	a
a	vasárnapot
vasárnapot	töltik
töltik	otthon
otthon	,
,	meg
meg	az
az	éjszakát
éjszakát	hajnali
hajnali	háromig
háromig	,
,	fél
fél	négyig
négyig	.
.	A
A	fiatal
fiatal	nõk
nõk	az
az	õ
õ	feleségeik
feleségeik	.
.	Családjukban
Családjukban	nincs
nincs	harmadik
harmadik	,
,	negyedik
negyedik	,
,	ötödik
ötödik	gyerek
gyerek	,
,	már
már	a
a	második
második	a
a	legkisebbnek
legkisebbnek	számít
számít	.
.	Utcánkat
Utcánkat	Csönd
Csönd	utcának
utcának	kellene
kellene	nevezni
nevezni	,
,	pontosan
pontosan	fedné
fedné	tapasztalatainkat
tapasztalatainkat	.
.	Nem
Nem	az
az	utcai
utcai	beszélgetések
beszélgetések	utáni
utáni	csöndet
csöndet	jelentené
jelentené	,
,	nem
nem	lenne
lenne	elõzménye
elõzménye	a
a	nevetés
nevetés	,
,	a
a	veszekedés
veszekedés	,
,	az
az	állati
állati	nyögdécselés
nyögdécselés	,
,	nem
nem	a
a	megnyugtató
megnyugtató	csöndet
csöndet	jelentené
jelentené	,
,	hanem
hanem	a
a	fedetlen
fedetlen	falakét
falakét	,
,	lakatlan
lakatlan	szobákét
szobákét	,
,	a
a	pókhálós
pókhálós	,
,	elmállott
elmállott	újságpapírral
újságpapírral	éktelenkedõ
éktelenkedõ	ablakokét
ablakokét	meg
meg	a
a	kályhatûzbe
kályhatûzbe	tekintõ
tekintõ	magányét
magányét	.
.	Hetvennégy
Hetvennégy	házból
házból	huszonkilencet
huszonkilencet	magukra
magukra	maradt
maradt	szülõk
szülõk	vagy
vagy	gyermektelen
gyermektelen	házaspárok
házaspárok	laknak
laknak	,
,	ebbõl
ebbõl	tizenhármat
tizenhármat	özvegyek
özvegyek	és
és	hetven
hetven	év
év	körüliek
körüliek	.
.	Tizenegy
Tizenegy	ház
ház	lakatlan
lakatlan	és
és	romos
romos	.
.	A
A	pajtánál
pajtánál	kezdõdött
kezdõdött	el
el	a
a	romlás
romlás	,
,	az
az	udvar
udvar	végén
végén	,
,	azután
azután	a
a	pajtáról
pajtáról	az
az	ólakra
ólakra	terjedt
terjedt	.
.	Bizonytalanul
Bizonytalanul	zárja
zárja	a
a	kerítés
kerítés	a
a	disznókat
disznókat	.
.	Összevágott
Összevágott	deszkadarabok
deszkadarabok	keverednek
keverednek	a
a	szalma
szalma	-
-	és
és	tökhéjalommal
tökhéjalommal	.
.	Az
Az	ajtó
ajtó	toldozott-foldozott
toldozott-foldozott	,
,	a
a	tolózárat
tolózárat	egy-két
egy-két	görbére
görbére	vert
vert	szög
szög	tartja
tartja	,
,	s
s	lötyög
lötyög	,
,	kinyitáskor
kinyitáskor	szánalmasan
szánalmasan	összecsuklik
összecsuklik	,
,	kidûl
kidûl	egy
egy	szenvedélyes
szenvedélyes	disznóvakaródzásra
disznóvakaródzásra	,
,	s
s	kezdõdhet
kezdõdhet	a
a	hajszolás
hajszolás	az
az	öregasszony
öregasszony	sírós
sírós	kiáltása
kiáltása	után
után	.
.	Kísérteties
Kísérteties	még
még	elgondolni
elgondolni	is
is	azt
azt	a
a	hajszát
hajszát	,
,	amit
amit	két
két	öreg
öreg	a
a	fulladás
fulladás	határain
határain	visz
visz	véghez
véghez	akkor
akkor	.
.	Míg
Míg	az
az	utcára
utcára	kiskert
kiskert	virul
virul	petúniával
petúniával	,
,	dáliával
dáliával	,
,	tavaszkával
tavaszkával	,
,	tátikával
tátikával	,
,	az
az	udvar
udvar	hátulsó
hátulsó	lakása
lakása	üresen
üresen	,
,	tetõ
tetõ	nélkül
nélkül	áll
áll	.
.	Gazdáját
Gazdáját	,
,	az
az	öregasszonyt
öregasszonyt	pár
pár	évvel
évvel	ezelõtt
ezelõtt	elvitte
elvitte	a
a	tüdõbaj
tüdõbaj	,
,	tüdõbajos
tüdõbajos	férje
férje	,
,	lánya
lánya	és
és	veje
veje	után
után	.
.	Ha
Ha	valamivel
valamivel	elõbb
elõbb	megy
megy	el
el	,
,	a
a	téeszszervezés
téeszszervezés	elõtt
elõtt	,
,	talán
talán	megvette
megvette	volna
volna	az
az	elsõ
elsõ	lakó
lakó	ezt
ezt	a
a	házrészt
házrészt	istállónak
istállónak	a
a	Pesten
Pesten	élõ
élõ	diplomás
diplomás	örököstõl
örököstõl	,
,	a
a	magasra
magasra	jutott
jutott	fiútól
fiútól	.
.	Visszaemlékszem
Visszaemlékszem	a
a	háborúig
háborúig	:
:	állt
állt	az
az	udvartartás
udvartartás	szép
szép	,
,	sudár
sudár	lányuk
lányuk	körül
körül	s
s	az
az	öregember
öregember	nagy
nagy	szalmakosarat
szalmakosarat	font
font	köhécselve
köhécselve	a
a	fejõszéken
fejõszéken	.
.	Abban
Abban	az
az	idõben
idõben	volt
volt	a
a	lakodalom
lakodalom	is
is	,
,	a
a	csendõr
csendõr	õrmesterrel
õrmesterrel	meg
meg	a
a	lánnyal
lánnyal	,
,	s
s	mi
mi	,
,	ablak-aljáig
ablak-aljáig	érõ
érõ	,
,	tátogató
tátogató	kölykök
kölykök	savanyúuborkát
savanyúuborkát	kaptunk
kaptunk	torta
torta	helyett
helyett	.
.	Nem
Nem	emlékszem
emlékszem	már
már	se
se	muzsikuscigányra
muzsikuscigányra	,
,	se
se	vendégekre
vendégekre	,
,	se
se	táncra
táncra	,
,	csak
csak	arra
arra	az
az	uborkára
uborkára	,
,	az
az	uborka
uborka	egyre
egyre	édesedõ
édesedõ	ízére
ízére	nyelvemen
nyelvemen	.
.	Hat
Hat	hátsó
hátsó	udvari
udvari	lakásból
lakásból	pusztultak
pusztultak	ki
ki	az
az	utóbbi
utóbbi	húsz
húsz	év
év	során
során	a
a	mi
mi	utcánkból
utcánkból	.
.	Közülük
Közülük	az
az	egyik
egyik	kéményen
kéményen	gólyák
gólyák	fészkeltek
fészkeltek	,
,	de
de	amikor
amikor	örökre
örökre	elszállt
elszállt	a
a	füst
füst	,
,	átköltöztek
átköltöztek	a
a	szomszéd
szomszéd	házra
házra	.
.	Az
Az	elsõ
elsõ	lakások
lakások	mintha
mintha	jobban
jobban	bírnák
bírnák	,
,	felépítésük
felépítésük	erõsebb
erõsebb	,
,	lakóik
lakóik	módosabbak
módosabbak	voltak
voltak	,
,	életképesebbek
életképesebbek	.
.	Ma
Ma	még
még	csak
csak	egy
egy	házon
házon	jutott
jutott	az
az	utcára
utcára	az
az	országútig
országútig	törõ
törõ	romlás
romlás	,
,	annak
annak	is
is	magyarázata
magyarázata	inkább
inkább	a
a	háborúban
háborúban	van
van	,
,	mert
mert	a
a	három
három	testvér
testvér	közül
közül	az
az	egy
egy	férfi
férfi	a
a	fronton
fronton	elesett
elesett	,
,	a
a	ház
ház	a
a	felszabadulás
felszabadulás	napján
napján	leégett
leégett	a
a	nagy
nagy	tûzvészben
tûzvészben	,
,	többek
többek	között
között	.
.	A
A	két
két	lány
lány	erejébõl
erejébõl	újjáépítésre
újjáépítésre	nem
nem	futotta
futotta	,
,	találtak
találtak	a
a	faluban
faluban	egy
egy	üres
üres	lakást
lakást	,
,	abban
abban	halt
halt	meg
meg	közülük
közülük	az
az	idõsebb
idõsebb	.
.	Házuk
Házuk	húsz
húsz	év
év	óta
óta	éktelenkedik
éktelenkedik	az
az	utca
utca	középsõ
középsõ	részén
részén	,
,	gyerekfélemlítõ
gyerekfélemlítõ	bozótjaival
bozótjaival	,
,	prófétai
prófétai	pusztulással
pusztulással	.
.	Konyhából
Konyhából	nõtt
nõtt	akácosát
akácosát	zúgatja
zúgatja	a
a	szél
szél	.
.	Mindenki
Mindenki	tudja
tudja	,
,	lassan
lassan	követi
követi	a
a	többi
többi	ház
ház	is
is	,
,	elõször
elõször	egy-kettõ
egy-kettõ	,
,	aztán
aztán	több
több	és
és	még
még	több
több	.
.	Az
Az	emberek
emberek	szó
szó	nélkül
nélkül	lépegetnek
lépegetnek	elõtte
elõtte	.
.	KARAKÓSZÖRCSÖK
KARAKÓSZÖRCSÖK	Bocsánatot
Bocsánatot	kérek
kérek	ettõl
ettõl	a
a	falutól
falutól	,
,	mert
mert	szégyenkeztem
szégyenkeztem	miatta
miatta	.
.	Pedig
Pedig	vasútállomásán
vasútállomásán	láttam
láttam	életemben
életemben	elõször
elõször	csodát
csodát	,
,	vonatot
vonatot	-
-	terepszín-ponyvásan
terepszín-ponyvásan	húzott
húzott	keletnek
keletnek	,
,	ismereteim
ismereteim	határain
határain	túlra
túlra	,
,	a
a	hegyek
hegyek	közé
közé	;
;	ott
ott	ültem
ültem	elõször
elõször	vonatra
vonatra	,
,	tízévesen
tízévesen	,
,	s
s	ritka
ritka	utazásaim
utazásaim	nagy
nagy	ünnepei
ünnepei	között
között	ez
ez	az
az	állomás
állomás	ajándékozta
ajándékozta	a
a	kisebbeket
kisebbeket	is
is	,
,	a
a	Kupovics
Kupovics	bácsi
bácsi	kocsmáját
kocsmáját	,
,	a
a	kocsizásokat
kocsizásokat	utazó
utazó	testvéreimmel
testvéreimmel	oda
oda	,
,	aztán
aztán	hazafelé
hazafelé	,
,	az
az	eltávozók
eltávozók	hiányával
hiányával	,
,	amikor
amikor	már
már	az
az	ülésdeszkák
ülésdeszkák	lekerültek
lekerültek	a
a	mélyre
mélyre	.
.	Nyáron
Nyáron	a
a	közelítõ
közelítõ	úton
úton	,
,	a
a	réten
réten	át
át	,
,	az
az	erdõ
erdõ	alatt
alatt	,
,	a
a	tavacska
tavacska	partján
partján	,
,	fölrebbentve
fölrebbentve	életem
életem	elsõ
elsõ	vadkacsáit
vadkacsáit	;
;	télen
télen	az
az	országúton
országúton	,
,	és
és	mindig
mindig	attól
attól	félve
félve	,
,	hogy
hogy	lekésünk
lekésünk	.
.	Sokszor
Sokszor	füstölt
füstölt	el
el	a
a	vonat
vonat	fekete
fekete	csíkja
csíkja	,
,	lovakkal
lovakkal	utolérhetetlenül
utolérhetetlenül	.
.	Akkor
Akkor	még
még	olyan
olyan	természetes
természetes	volt
volt	ez
ez	a
a	név
név	:
:	Karakószörcsök
Karakószörcsök	.
.	Egyszer
Egyszer	,
,	gimnáziumi
gimnáziumi	táborozásom
táborozásom	utolsó
utolsó	napján
napján	kitört
kitört	a
a	röhögés
röhögés	,
,	amikor
amikor	vezetõnk
vezetõnk	a
a	jegyeket
jegyeket	ellenõrizte
ellenõrizte	,
,	s
s	megkérdezte
megkérdezte	,
,	meddig
meddig	megyek
megyek	,
,	nevetett
nevetett	maga
maga	is
is	.
.	Azt
Azt	hittem
hittem	,
,	én
én	vagyok
vagyok	a
a	nevetséges
nevetséges	,
,	a
a	ruhám
ruhám	,
,	a
a	tétovaságom
tétovaságom	.
.	Elpirultam
Elpirultam	,
,	nézegettem
nézegettem	magam
magam	,
,	pedig
pedig	csak
csak	a
a	jegyem
jegyem	szólt
szólt	Karakószörcsökig
Karakószörcsökig	.
.	Azóta
Azóta	inkább
inkább	többet
többet	fizettem
fizettem	néhány
néhány	forinttal
forinttal	,
,	Kertáig
Kertáig	vettem
vettem	a
a	jegyet
jegyet	,
,	mert
mert	féltem
féltem	,
,	hogy
hogy	valaki
valaki	fölröhög
fölröhög	hátam
hátam	mögött
mögött	a
a	sorban
sorban	,
,	elmosolyodik
elmosolyodik	a
a	pénztáros
pénztáros	,
,	én
én	meg
meg	kotródhatok
kotródhatok	.
.	Letagadtam
Letagadtam	ezt
ezt	a
a	falut
falut	,
,	mintha
mintha	a
a	parasztokat
parasztokat	szégyelltem
szégyelltem	volna
volna	:
:	a
a	szüleimet
szüleimet	,
,	a
a	falumbelieket
falumbelieket	.
.	Térdig
Térdig	érõ
érõ	rövidnadrágom
rövidnadrágom	volt
volt	õ
õ	a
a	városban
városban	,
,	klottgatyám
klottgatyám	,
,	ormótlan
ormótlan	bakancsom
bakancsom	.
.	Aztán
Aztán	a
a	hûtlenségem
hûtlenségem	.
.	Pedig
Pedig	kiválásom
kiválásom	és
és	visszatérésem
visszatérésem	kapuja
kapuja	.
.	Itt
Itt	találkozom
találkozom	a
a	régi
régi	ismerõsökkel
ismerõsökkel	elõször
elõször	,
,	itt
itt	áll
áll	mindig
mindig	az
az	autóbusz
autóbusz	,
,	amely
amely	tíz
tíz	perc
perc	alatt
alatt	hazavisz
hazavisz	,
,	itt
itt	kezdõdik
kezdõdik	az
az	édes
édes	sár
sár	,
,	az
az	a
a	munka
munka	,
,	amelyet
amelyet	harminc
harminc	év
év	folyamatában
folyamatában	tudok
tudok	,
,	itt
itt	akár
akár	gyerek
gyerek	is
is	lehetek
lehetek	,
,	vagy
vagy	bálozó
bálozó	suhanc
suhanc	,
,	csóklopó
csóklopó	diák
diák	-
-	hajdani
hajdani	barátaimmal
barátaimmal	innen
innen	hazafelé
hazafelé	.
.	Bocsánatot
Bocsánatot	kérek
kérek	,
,	mert
mert	komolyan
komolyan	vettem
vettem	a
a	kabaréröhejt
kabaréröhejt	,
,	amely
amely	,
,	úgy
úgy	látszik
látszik	,
,	múlhatatlan
múlhatatlan	,
,	még
még	ma
ma	is
is	hallható
hallható	.
.	A
A	karakószörcsökiek
karakószörcsökiek	nemrég
nemrég	tiltakoztak
tiltakoztak	,
,	hogy
hogy	õk
õk	nem
nem	olyan
olyan	buták
buták	,
,	hogy
hogy	dinnyemagnak
dinnyemagnak	higgyék
higgyék	a
a	bolhát
bolhát	,
,	mint
mint	ahogy
ahogy	a
a	kabaréban
kabaréban	beszéltek
beszéltek	róluk
róluk	.
.	Akit
Akit	vidékre
vidékre	helyeznek
helyeznek	,
,	azt
azt	Mucsára
Mucsára	,
,	Börgözdre
Börgözdre	,
,	Karakószörcsökre
Karakószörcsökre	helyezik
helyezik	a
a	viccekben
viccekben	,
,	oda
oda	,
,	hol
hol	még
még	a
a	kitaláló
kitaláló	sohasem
sohasem	járt
járt	.
.	Miféle
Miféle	úrhatnám
úrhatnám	lesajnálás
lesajnálás	következménye
következménye	ez
ez	?
?	Egyidõs
Egyidõs	a
a	vonatokkal
vonatokkal	,
,	amikor
amikor	a
a	pestiek
pestiek	elõször
elõször	meghallották
meghallották	a
a	pályaudvaron
pályaudvaron	a
a	falu
falu	nevét
nevét	?
?	Vagy
Vagy	akkor
akkor	nevettek
nevettek	rajta
rajta	elõször
elõször	a
a	nagyságosok
nagyságosok	,
,	amikor
amikor	egy
egy	karakószörcsöki
karakószörcsöki	lány
lány	cselédnek
cselédnek	jelentkezett
jelentkezett	náluk
náluk	?
?	S
S	lett
lett	a
a	névbõl
névbõl	Karakószörcsög
Karakószörcsög	,
,	Harapóhörcsög
Harapóhörcsög	.
.	Vicc
Vicc	lett
lett	ez
ez	az
az	õsi
õsi	magyar
magyar	falunév
falunév	,
,	amely
amely	a
a	környezõ
környezõ	falunevekhez
falunevekhez	természetesen
természetesen	illeszkedik
illeszkedik	.
.	Azon
Azon	a
a	tájon
tájon	nem
nem	gúnyolja
gúnyolja	senki
senki	,
,	és
és	nem
nem	is
is	tudják
tudják	,
,	mit
mit	lehet
lehet	nevetni
nevetni	rajta
rajta	.
.	Kis
Kis	falu
falu	Veszprém
Veszprém	megye
megye	nyugati
nyugati	felén
felén	,
,	a
a	budapest-szombathelyi
budapest-szombathelyi	vasút
vasút	és
és	a
a	grazi
grazi	mûút
mûút	mellett
mellett	.
.	A
A	Pápáról
Pápáról	,
,	Celldömölkrõl
Celldömölkrõl	,
,	Sümegrõl
Sümegrõl	érkezõ
érkezõ	buszok
buszok	végállomása
végállomása	,
,	ezek
ezek	a
a	buszok
buszok	tíz-tizenöt
tíz-tizenöt	falu
falu	lakóit
lakóit	szállítják
szállítják	a
a	vonathoz
vonathoz	.
.	A
A	nagy
nagy	forgalomnak
forgalomnak	megfelelõ
megfelelõ	állomásépületet
állomásépületet	emeltek
emeltek	mostanában
mostanában	.
.	A
A	lakosság
lakosság	nagy
nagy	része
része	bejáró
bejáró	munkás
munkás	,
,	húsz
húsz	perc
perc	alatt
alatt	Ajkára
Ajkára	érnek
érnek	,
,	tehát
tehát	nem
nem	is
is	jellemzõ
jellemzõ	rájuk
rájuk	a
a	sokat
sokat	utazó
utazó	munkások
munkások	rideg
rideg	élete
élete	.
.	Kultúrája
Kultúrája	nyugat-dunántúli
nyugat-dunántúli	szinten
szinten	áll
áll	.
.	Vagy
Vagy	talán
talán	azért
azért	nevetséges
nevetséges	,
,	mert
mert	nehezen
nehezen	lehet
lehet	kiejteni
kiejteni	,
,	mint
mint	a
a	Tihanyi
Tihanyi	Alapítólevél
Alapítólevél	magyar
magyar	szavait
szavait	?
?	Most
Most	pedig
pedig	kérek
kérek	egy
egy	másodosztályút
másodosztályút	Karakószörcsökig
Karakószörcsökig	.
.	Négy
Négy	órát
órát	utazom
utazom	.
.	Megérkezem
Megérkezem	,
,	megindulok
megindulok	gyalog
gyalog	,
,	jobbra
jobbra	,
,	hazafelé
hazafelé	.
.	Nem
Nem	kell
kell	semmi
semmi	jármû
jármû	.
.	A
A	kis
kis	toronytól
toronytól	egyre
egyre	távolodva
távolodva	elballagok
elballagok	a
a	tó
tó	mellett
mellett	,
,	ahol
ahol	kicsinyeiket
kicsinyeiket	úsztatják
úsztatják	a
a	vadrucák
vadrucák	a
a	halak
halak	fölött
fölött	,
,	alig
alig	látható
látható	véglények
véglények	cikáznak
cikáznak	a
a	parti
parti	,
,	sekély
sekély	vízben
vízben	,
,	boglárka
boglárka	nyílik
nyílik	,
,	az
az	erdõ
erdõ	varjúfészekvárosai
varjúfészekvárosai	zsibonganak
zsibonganak	.
.	Megállapítom
Megállapítom	,
,	hogy
hogy	kivágták
kivágták	a
a	rét
rét	elején
elején	azt
azt	a
a	nyárfát
nyárfát	,
,	amely
amely	a
a	fele
fele	utat
utat	jelezte
jelezte	,
,	de
de	a
a	kis
kis	galagonyabokor
galagonyabokor	még
még	mindig
mindig	él
él	.
.	Az
Az	autóbusz
autóbusz	már
már	régen
régen	hazavitt
hazavitt	volna
volna	,
,	de
de	szükséges
szükséges	az
az	egykori
egykori	út
út	,
,	még
még	akkor
akkor	is
is	,
,	ha
ha	azt
azt	hiszik
hiszik	-
-	ma
ma	is
is	hiába
hiába	várnak
várnak	.
.	Megérkezem
Megérkezem	majd
majd	,
,	ha
ha	az
az	elvesztettet
elvesztettet	,
,	elárultat
elárultat	visszahódítottam
visszahódítottam	.
.	SZÜLÕFALUM
SZÜLÕFALUM	VÁLTOZÁSAI
VÁLTOZÁSAI	Egy
Egy	dunántúli
dunántúli	kisközség
kisközség	lakóinak
lakóinak	közérzetérõl
közérzetérõl	gondolkodom
gondolkodom	,
,	szülõfalumról
szülõfalumról	:
:	bátyáim
bátyáim	,
,	nõvéreim
nõvéreim	,
,	egyszeri
egyszeri	iskolatársaim
iskolatársaim	,
,	szomszédaim
szomszédaim	,
,	szüleim
szüleim	életérõl
életérõl	.
.	Szorongok
Szorongok	,
,	netán
netán	elfogulttá
elfogulttá	tesz
tesz	a
a	szeretet
szeretet	,
,	de
de	örülök
örülök	is
is	,
,	mert
mert	jó
jó	a
a	szeretet
szeretet	közegében
közegében	elidõzni
elidõzni	.
.	Amikor
Amikor	ennek
ennek	az
az	írásnak
írásnak	adatanyaga
adatanyaga	miatt
miatt	utaztam
utaztam	hozzájuk
hozzájuk	,
,	különös
különös	örömmel
örömmel	fogadtak
fogadtak	,
,	mintha
mintha	ajándékot
ajándékot	vittem
vittem	volna
volna	,
,	s
s	úgy
úgy	búcsúztattak
búcsúztattak	,
,	mint
mint	aki
aki	jót
jót	ígért
ígért	nekik
nekik	,
,	valamilyen
valamilyen	segítséget
segítséget	.
.	Szerepemet
Szerepemet	furcsának
furcsának	éreztem
éreztem	:
:	az
az	együttes
együttes	munkák
munkák	és
és	látogatások
látogatások	után
után	céltudatos
céltudatos	nyomozója
nyomozója	voltam
voltam	egy
egy	héten
héten	át
át	dolgaiknak
dolgaiknak	,
,	eredményeiknek
eredményeiknek	és
és	lehetõségeiknek
lehetõségeiknek	.
.	Meglepetés
Meglepetés	nem
nem	ért
ért	,
,	tíz
tíz	év
év	óta
óta	érett
érett	fejjel
fejjel	ismerem
ismerem	õket
õket	,
,	azelõtt
azelõtt	meg
meg	a
a	gyerekkor
gyerekkor	párától
párától	fényes
fényes	ablaküvegén
ablaküvegén	mindig
mindig	rájuk
rájuk	figyeltem
figyeltem	csodálkozva
csodálkozva	és
és	nagyrabecsüléssel
nagyrabecsüléssel	.
.	Bár
Bár	volt
volt	ennek
ennek	a
a	falunak
falunak	egy
egy	rétege
rétege	,
,	akikhez
akikhez	közel
közel	nem
nem	férkõzhettem
férkõzhettem	,
,	a
a	falu
falu	vezetõinek
vezetõinek	,
,	a
a	tanítóknak
tanítóknak	,
,	jegyzõknek
jegyzõknek	életét
életét	annyira
annyira	ismertem
ismertem	azelõtt
azelõtt	,
,	amennyire
amennyire	az
az	iskola
iskola	folyosójáról
folyosójáról	beláthattam
beláthattam	a
a	félig
félig	nyitva
nyitva	hagyott
hagyott	tanítólakásba
